,date_time,temp,humidity,wind_speed,wind_dir,drought,ffdi,gfdi,fros_vesta2_fbcalc,mc_v,fM_d,fFA,fM,vesta2_r1,vesta2_p2,vesta2_r2,vesta2_p3,vesta2_r3,fros_vesta2,mc_amicus,fros_vesta2_amicus,fros_vesta,fros_mc_v2_fbcalc
0,2021-12-19 04:00:00,23.9,24.2,16,36,8.7,17,1,646,6.71723,0.8078732889411081,0.9767803010805095,0.789114714406797,225.44621380087682,0.999671303990992,645.3210181075247,0.0016929224368486674,1123.3132473175754,645.9924443467454,6.71723,661,716,6
1,2021-12-19 05:00:00,23.6,24.4,13,312,8.7,15,1,540,6.771319999999999,0.8031110223095963,0.9767803010805095,0.7844630261726433,180.842122858347,0.9980934390740541,540.4433853147281,0.0006170697011450451,871.9821639527817,539.9627891979061,6.771319999999999,552,546,6
2,2021-12-19 06:00:00,22.7,27.3,16,336,8.7,14,1,611,7.1922000000000015,0.7655303044636252,0.9767803010805095,0.747754921280234,213.629923223935,0.9994583405000455,611.4978700634355,0.0005577271012044408,1064.4371388416257,611.5350978108836,7.38899,611,647,7
3,2021-12-19 07:00:00,23.0,28.2,25,2,8.7,17,2,874,7.3308,0.7529928980192114,0.9767803010805095,0.7355086296386907,328.22354969212404,0.9999962066947642,869.4782019240494,0.005684663892392352,1781.7322139430346,874.6620178941916,7.552700000000001,870,1031,7
4,2021-12-19 08:00:00,25.3,26.0,32,0,8.7,24,4,1296,6.855499999999999,0.7956654403059015,0.9767803010805095,0.7771903283413546,441.1618321622435,0.999999956921524,1126.4722905623935,0.12148379968747718,2526.3827051134613,1296.538701008459,6.8555,1410,1465,6
5,2021-12-19 09:00:00,27.7,28.0,27,328,8.7,21,3,972,7.085500000000001,0.7751346852117178,0.9767803010805095,0.7571362911990477,364.32765060143055,0.9999990616220485,953.7677863821164,0.018112514937782497,2010.2301128676552,972.9024329525142,7.085500000000001,1005,1175,7
6,2021-12-19 10:00:00,28.9,31.9,42,328,8.7,28,6,1780,7.6906,0.720212166270896,0.9767803010805095,0.7034890566119317,518.7588347580279,0.9999999996409055,1276.3326901793846,0.2673602346659527,3161.6838924287595,1780.4006298412055,7.6906,1993,1609,7
7,2021-12-19 11:00:00,29.1,35.1,43,326,8.7,26,6,1431,8.2224,0.671531450641647,0.9767803010805095,0.6559386925427793,494.7052206468899,0.9999999996384747,1213.4102497386261,0.1201725544664335,3031.783866983222,1431.9288520686725,8.2224,1553,1489,8
8,2021-12-19 12:00:00,29.1,39.0,45,292,8.7,24,6,1233,7.05183,0.7781557228652365,0.9767803010805095,0.7600871812678273,598.7008302220694,0.9999999999670017,1459.856907088141,0.8019023667866337,3708.6777410467366,3263.1916563130007,7.05183,3479,1956,8
9,2021-12-19 13:00:00,29.1,38.2,40,285,8.8,22,5,2408,6.95263,0.7870266326164417,0.9794760162968449,0.7708737108346728,542.4953014950643,0.9999999995047988,1343.3648780528104,0.5529501098551323,3268.902352103584,2408.091035682063,6.95263,2643,1785,6
10,2021-12-19 14:00:00,30.8,35.8,42,277,8.8,27,6,3223,6.623239999999999,0.8161047557806104,0.9794760162968449,0.7993550350729017,589.4512255094372,0.9999999998872342,1450.2613121469399,0.8275250827369112,3592.533408968105,3223.0452062971085,6.623239999999999,3398,2012,6
11,2021-12-19 15:00:00,31.1,29.9,37,258,8.8,29,5,3034,5.886029999999999,0.8782266295461201,0.9794760162968449,0.8602019205136386,561.6985469978608,0.9999999990757498,1405.5772834142972,0.849137242286772,3324.179322395224,3034.733727722673,5.88603,3189,2123,5
12,2021-12-19 16:00:00,32.4,25.1,37,261,8.8,36,6,3406,5.26652,0.9258573919526869,0.9794760162968449,0.9068551099288042,592.1623579733898,0.9999999994739956,1481.8089932919331,0.9517350062823297,3504.4667222246485,3406.843159622128,5.26652,3509,2508,5
13,2021-12-19 17:00:00,32.3,22.5,34,243,8.8,36,5,3128,5.949,0.8731215277526715,0.9794760162968449,0.8552015957462018,514.7428949688459,0.9999999946078595,1303.170288559385,0.6699976795959103,2988.1706300965343,2432.116606104649,4.94599,3233,1924,4
14,2021-12-19 18:00:00,31.4,21.8,37,237,8.8,39,6,3046,5.8712,0.8794225848866775,0.9794760162968449,0.8613733300862767,562.4634593273953,0.9999999990887387,1407.491376658696,0.853125733679279,3328.7061380027667,3046.529129372718,5.871200000000001,3199,2131,5
15,2021-12-19 19:00:00,30.1,21.8,37,226,8.8,38,6,2998,5.9297,0.8746907985463062,0.9794760162968449,0.856738658851642,559.4370907083244,0.9999999990362551,1399.9182842856792,0.8368234912276314,3310.7958335534654,2998.985506240274,5.9297,3159,2100,5
16,2021-12-19 20:00:00,27.2,25.6,33,215,8.8,27,4,1413,6.835040000000001,0.7974787719555951,0.9794760162968449,0.7811113306363664,456.7843216023978,0.9999999767132973,1161.2896431864756,0.1710813611171646,2633.934130714907,1413.2316529556163,6.83504,1539,1518,6
17,2021-12-19 21:00:00,24.6,25.8,34,210,8.8,25,4,1407,7.000220000000001,0.7827766583139542,0.9794760162968449,0.7667109629355083,461.4806878621612,0.9999999842930394,1168.3268036216684,0.15844156417109917,2678.9743992676526,1407.6761622438066,7.0002200000000006,1529,1508,7
18,2021-12-19 22:00:00,21.9,28.9,33,210,8.8,20,3,1072,7.7444299999999995,0.715288754029985,0.9794760162968449,0.7006081792992235,409.7070665068487,0.9999999384076526,1041.60443030455,0.02317176866539107,2362.4747501881125,1072.2112937756772,7.744429999999999,1106,1259,7
19,2021-12-19 23:00:00,19.7,31.5,29,205,8.8,15,2,863,8.36549,0.658461995044023,0.9794760162968449,0.6449477317885925,332.73833767742474,0.9999988307663077,861.8223701935349,0.0016299712120916776,1864.5184821106627,863.4561183758966,8.365490000000001,881,986,8
20,2021-12-20 00:00:00,18.9,32.4,24,203,8.8,13,2,715,8.58233,0.6387294696417821,0.9794760162968449,0.6256201964161293,268.2022432595526,0.9999747537665507,715.0612119474704,0.00022203394725235645,1443.5954159515459,715.2116922715285,8.58233,729,780,8
